frame,x_coordinate,y_coordinate,z_coordinate
1,[-0.80219186],[19.87363763],[122.02106891]
1,[-21.95285791],[-10.15687717],[-119.31472555]
2,[2.31996671],[-19.97306242],[-118.62795961]
2,[-14.26270422],[-4.11931627],[-58.73521466]
3,[0.4570393],[-21.52718911],[-142.21608962]
3,[-1.23935197],[0.12601625],[-8.49674155]
4,[0.94527886],[-21.4614996],[-143.21176127]
4,[-1.24001974],[0.08605567],[-8.49816982]
6,[-1.52306525],[17.37791574],[111.22485793]
6,[-26.73706318],[-15.19042513],[-134.34836102]
7,[-2.5351609],[16.8744549],[110.49632459]
7,[-27.3025259],[-16.57271796],[-141.46934509]
8,[-3.04833878],[16.60231999],[109.6552639]
8,[-27.3690427],[-17.6178862],[-144.61541735]
9,[-3.53125094],[16.21755914],[108.47615754]
9,[-26.81908807],[-18.43083566],[-145.00468882]
10,[-3.99810723],[16.14361242],[108.98269726]
10,[-26.62028684],[-19.85978662],[-148.71146679]
11,[-4.39578883],[15.85831869],[108.59245153]
11,[-26.75448995],[-21.13543873],[-153.96506397]
12,[-4.70415832],[15.67862859],[108.33109302]
12,[-26.42770728],[-22.41415428],[-155.68546216]
13,[-5.07088114],[15.57183265],[108.38733588]
13,[-26.47644687],[-24.05790363],[-159.92237097]
14,[-5.1134181],[15.58708098],[108.50971585]
14,[-27.00515897],[-25.78836962],[-167.64959779]
15,[-5.16697257],[15.61541552],[108.71801788]
15,[-27.61306592],[-27.7244777],[-176.51860107]
16,[-5.16770685],[15.60244937],[108.41810551]
16,[-27.66373953],[-28.61158691],[-178.8858816]
17,[-5.15937302],[15.5749887],[107.96960954]
17,[-0.04678278],[-1.42278617],[-8.42888794]
18,[-5.15100393],[15.54272496],[106.98601848]
18,[-0.05499635],[-1.01030497],[-8.53361843]
19,[-5.20888301],[15.52327229],[106.68422885]
19,[-26.0038941],[-27.4909446],[-167.25089095]
20,[-5.25410051],[15.37592976],[105.68593964]
20,[-0.07362486],[-1.17089754],[-8.51071606]
21,[-5.42588292],[15.57628569],[106.212799]
21,[-0.09392417],[-1.34907018],[-8.48076109]
22,[-5.47573271],[15.48784361],[105.32816536]
22,[-0.3082976],[-1.79806753],[-8.39956759]
23,[-5.59738503],[15.44821111],[104.81990588]
23,[-24.58823061],[-22.44466911],[-149.81123112]
24,[-5.66056911],[15.31713984],[103.82359708]
24,[-23.9699877],[-20.85201792],[-143.60092613]
25,[-5.66061554],[15.25816512],[102.6966526]
25,[-23.39919208],[-19.57555543],[-137.79524428]
26,[-5.61325457],[15.25858628],[101.63571329]
26,[-22.94311055],[-18.70151399],[-135.06955532]
27,[-5.44955549],[15.26040958],[100.04270245]
27,[-68.50043228],[-60.49156047],[-419.16675416]
28,[-5.32668342],[15.38710799],[99.18970488]
28,[-70.79937179],[-63.77600714],[-437.64886656]
29,[-5.22847904],[15.34305609],[98.60245729]
29,[-21.71092127],[-18.20482505],[-128.60309237]
30,[-5.17184271],[15.33146787],[98.40519079]
30,[-79.70614395],[-78.42640915],[-509.77540538]
31,[-5.11053153],[15.24904399],[98.22790441]
31,[-21.84389859],[-20.42450171],[-135.45807928]
32,[-5.08670221],[15.07202598],[97.26289397]
32,[-21.84751699],[-21.72219474],[-138.606561]
33,[-5.12703342],[15.1048245],[96.50192316]
33,[-21.92753799],[-22.289743],[-140.89216292]
34,[-5.16133679],[15.24673984],[96.33196408]
34,[-21.72039264],[-21.83439365],[-138.50623316]
35,[-5.12006688],[15.3234246],[95.33975911]
35,[-21.51733452],[-21.83846564],[-138.99709013]
36,[-5.04916596],[15.47226554],[94.71827559]
36,[-21.67715408],[-22.42175065],[-144.67410282]
37,[-5.06626033],[15.65974366],[94.80789535]
37,[-21.81137573],[-22.98596461],[-147.34275732]
38,[-5.12236985],[15.90347475],[95.27139959]
38,[-21.30023616],[-23.00077784],[-145.52007031]
39,[-5.19408017],[15.89597621],[94.67365588]
39,[-21.53969833],[-23.36773003],[-147.110825]
40,[-5.24511719],[15.92459953],[94.20401345]
40,[-21.67083326],[-23.1453365],[-145.68639747]
41,[-5.16503763],[15.86556334],[93.39426545]
41,[-21.44475685],[-22.53277907],[-144.96604774]
42,[-5.10731435],[15.88924437],[92.54129703]
42,[-21.2585083],[-21.95843088],[-144.58325673]
43,[-5.12859286],[16.08963198],[92.05507838]
43,[-21.0759521],[-21.5970281],[-144.1290253]
44,[-5.13879691],[16.23129893],[91.37154183]
44,[-20.91559122],[-21.22708909],[-143.78151958]
45,[-5.20452205],[16.74488899],[92.19099437]
45,[-20.56780709],[-21.0373961],[-141.44216143]
46,[-5.16488168],[16.99945376],[91.82463232]
46,[-20.54400298],[-21.26760724],[-142.01216302]
47,[-5.04742785],[17.10714605],[90.89690898]
47,[-20.70114101],[-22.3257743],[-147.87042447]
48,[-4.89803617],[17.19893394],[89.97971911]
48,[-20.54599422],[-23.15043224],[-152.09429254]
49,[-5.02275251],[17.7223978],[91.97803628]
49,[-20.1519958],[-23.15567331],[-153.04584977]
51,[-4.83074361],[17.4114821],[90.39130056]
51,[-13.68550676],[-15.43628636],[-106.45362944]
52,[-4.73171114],[17.4354534],[91.61953955]
52,[-12.86997233],[-14.97711631],[-106.09649712]
53,[-4.7832846],[17.22270548],[91.25050934]
53,[-12.692115],[-14.9184713],[-106.21525728]
54,[-4.75174092],[17.16839578],[91.09365013]
54,[-12.48849688],[-15.12701055],[-106.40666894]
55,[-4.79675553],[17.03358493],[90.95329218]
55,[-12.296639],[-15.16284763],[-106.67993767]
56,[-4.77619096],[17.01161469],[90.85841763]
56,[-12.10919983],[-15.14672994],[-106.60095044]
57,[-4.73314415],[16.89448224],[90.26486047]
57,[-12.09653303],[-15.13599956],[-106.57923633]
58,[-4.68290712],[16.92265501],[90.44566918]
58,[-12.07255363],[-14.9925905],[-105.71762991]
59,[-4.63397258],[16.86504715],[90.46245575]
59,[-12.09866104],[-14.95852059],[-105.96945694]
60,[-4.48397507],[16.83916764],[90.25752959]
60,[-12.13521279],[-15.01506035],[-106.28568412]
61,[-5.62624955],[19.49225887],[95.48993632]
61,[-11.90733723],[-14.85767139],[-105.00794351]
62,[-7.77666523],[37.94056078],[191.04618679]
62,[-11.9528977],[-14.93700839],[-106.32599285]
63,[-4.98008816],[18.88441638],[91.82063346]
63,[-12.03250979],[-15.04220091],[-108.12211924]
64,[-3.58143328],[16.83861464],[88.98863411]
64,[-11.95147702],[-14.9895977],[-108.29489217]
65,[-3.2310092],[16.46785816],[86.57590546]
65,[-11.92457213],[-14.90748388],[-107.56180746]
66,[-2.93659198],[17.29411416],[89.29740346]
66,[-11.81935668],[-14.77962147],[-107.10119486]
67,[-2.62936213],[17.78953559],[90.1455953]
67,[-11.81963418],[-14.78192762],[-107.80373016]
68,[-2.2803621],[17.60138696],[87.51016331]
68,[-11.75000567],[-14.71245057],[-107.95058411]
69,[-1.94920776],[19.43999971],[93.65401865]
69,[-11.56487011],[-14.39791073],[-106.42369335]
70,[-1.62050436],[19.61510671],[93.06576469]
70,[-11.58270121],[-14.33287326],[-106.55986686]
71,[-1.28451933],[20.2750747],[95.13781374]
71,[-11.54586684],[-14.22789383],[-106.3510577]
72,[-1.26554824],[19.95101344],[93.59789639]
72,[-11.4523235],[-14.06751979],[-106.37646892]
73,[-1.29059745],[20.32066408],[94.73119588]
73,[-11.42566256],[-14.07334603],[-107.43877012]
74,[-1.39097132],[19.9518737],[93.00867535]
74,[-11.33871719],[-13.8874906],[-106.70785695]
75,[-1.43854012],[19.99202606],[93.19010593]
75,[-11.34010084],[-13.81426866],[-106.69323517]
76,[-1.79391988],[20.7856084],[96.50862176]
76,[-11.27218947],[-13.66403678],[-106.32577052]
77,[-2.15628906],[20.75818984],[96.39678726]
77,[-11.20316013],[-13.55138885],[-105.98362718]
78,[-2.83667374],[20.76263007],[96.19888539]
78,[-11.24394408],[-13.47783121],[-105.75484533]
79,[-3.39319014],[20.88438927],[96.94376376]
79,[-11.26209729],[-13.37125974],[-105.6252265]
80,[-3.73253563],[20.81275421],[97.13776374]
80,[-11.23514101],[-13.35473927],[-105.6060629]
81,[-4.05898222],[20.769483],[97.39415293]
81,[-11.18087],[-13.27531495],[-104.90432196]
82,[-4.6132913],[21.01852422],[98.09389743]
82,[-11.11394693],[-13.19150572],[-104.61686421]
83,[-5.14931776],[21.09602085],[97.98965877]
83,[-11.03734296],[-13.08529081],[-104.28002538]
84,[-5.41541456],[21.11906165],[97.88448996]
84,[-11.03945747],[-13.05005805],[-103.85691439]
85,[-5.66234068],[21.13719365],[97.77436807]
85,[-10.99934693],[-12.99529842],[-103.43099132]
86,[-5.7727452],[21.28809435],[98.54684374]
86,[-11.00105883],[-13.03752785],[-104.02124237]
87,[-5.74806645],[21.08691787],[97.72711875]
87,[-10.82616606],[-12.90469656],[-103.26992587]
88,[-5.71337995],[20.98457676],[97.70827825]
88,[-10.72399479],[-12.98371122],[-103.71314989]
89,[-5.69164988],[21.05529285],[98.46810192]
89,[-10.6590495],[-13.12791654],[-104.46986575]
90,[-5.65798198],[20.90853307],[98.16340218]
90,[-10.50940682],[-13.39972619],[-105.54496633]
91,[-5.63094754],[20.85521366],[98.29644069]
91,[-10.28327827],[-13.6314791],[-106.15945483]
92,[-5.76195168],[20.48231367],[97.35413172]
92,[-10.23025093],[-13.93076871],[-107.4114982]
93,[-5.72229342],[20.04432381],[96.57772782]
93,[-10.14446117],[-14.02882422],[-106.66518561]
94,[-5.6247181],[18.63726912],[92.41266095]
94,[-10.12859401],[-14.05773187],[-105.38023733]
95,[-5.52989984],[17.33194981],[88.47341808]
95,[-10.05252883],[-14.21519391],[-106.03216739]
96,[-5.63223397],[17.59437906],[91.24162219]
96,[-9.87991613],[-14.28336978],[-106.4563671]
97,[-5.60207969],[16.96001119],[89.50487751]
97,[-9.78642634],[-14.15752934],[-105.64949835]
98,[-5.58910682],[16.63631754],[88.93696993]
98,[-9.61005499],[-13.83325406],[-104.66220939]
99,[-5.53249199],[16.50270519],[88.63211749]
99,[-9.55031778],[-13.44637152],[-103.1714368]
100,[-5.54409444],[16.58606003],[89.32140893]
100,[-9.45918253],[-13.09507467],[-102.24660344]
101,[-5.50677488],[16.62692009],[89.59252881]
101,[-9.31667991],[-12.84903587],[-102.18674771]
102,[-5.51935055],[16.5369624],[88.93332596]
102,[-9.02269804],[-12.40608966],[-101.22538225]
103,[-5.54692976],[16.59009727],[89.03425006]
103,[-8.79447169],[-12.10969875],[-99.83788394]
104,[-5.54862418],[16.59684285],[89.06741606]
104,[-8.62012083],[-12.016056],[-99.50389443]
105,[-5.58623514],[16.6718341],[89.46233062]
105,[-8.42732119],[-12.08624137],[-99.73302972]
106,[-5.5703037],[16.45224947],[88.64083997]
106,[-8.20272354],[-12.05714042],[-99.4812752]
107,[-5.58385881],[16.39086091],[88.59541541]
107,[-8.00643694],[-11.97666917],[-99.27795734]
